@relation dataSet

@attribute jakoscJedzenia {good,low,average,great}
@attribute czystoscRestauracji {clean,average,dirty,scrapHeap,perfect}
@attribute czasOczekiwania {short,long,fastAndFurious,tooLong,average}
@attribute jakoscObslugi {great,average,bad,terrible,good}
@attribute cenaPosilku {$$$,$$,$,$$$$}
@attribute napiwek {1,0}

@data
low,dirty,long,bad,$$$,0
good,perfect,short,great,$$$,1
low,clean,average,average,$$,1
average,average,short,great,$$$,1
great,dirty,average,bad,$$,0
good,clean,short,average,$$$,1
low,average,short,bad,$$,0
good,clean,short,average,$,1
low,dirty,short,good,$$$,0
good,perfect,fastAndFurious,average,$$$,1
low,clean,long,bad,$$,0
good,average,long,terrible,$,0
low,dirty,long,terrible,$$$,0
average,perfect,fastAndFurious,bad,$$,1
great,clean,tooLong,great,$,1
great,scrapHeap,long,great,$$$,1
great,average,long,good,$$,1
good,scrapHeap,average,terrible,$,0
low,average,average,average,$$$,0
good,dirty,average,great,$,1
low,dirty,long,average,$$$,0
good,perfect,short,terrible,$$$,0
low,average,average,average,$$,0
good,clean,short,bad,$$$,0
low,average,average,average,$$$,0
good,dirty,short,great,$$,1
low,clean,short,bad,$$,0
low,clean,short,average,$,1
good,clean,short,great,$$$,1
low,perfect,short,bad,$$$$,0
good,average,long,average,$$,1
low,clean,average,bad,$,0
good,scrapHeap,short,average,$$$,1
low,average,long,great,$,1
good,dirty,average,bad,$$$,1
low,dirty,average,bad,$$$,0
average,perfect,average,average,$$,1
great,average,long,great,$$,1
great,clean,short,bad,$$$,0
great,average,long,terrible,$$,0
good,dirty,average,bad,$$$,0
low,clean,average,average,$$,1
good,clean,average,bad,$,1
low,average,tooLong,bad,$$$,0
good,clean,long,bad,$,0
great,average,long,terrible,$$$,0
great,dirty,short,terrible,$$$,0
low,clean,long,bad,$$,0
good,clean,average,great,$$,1
low,clean,fastAndFurious,great,$$,1
average,clean,tooLong,good,$$,0
great,average,long,terrible,$,0
good,scrapHeap,long,average,$$$,0
low,average,average,great,$$$$,1
good,average,average,bad,$$,1
low,scrapHeap,average,terrible,$,0
good,average,average,bad,$$$,0
low,scrapHeap,tooLong,average,$$$,0
low,average,long,great,$$,1
good,clean,tooLong,bad,$$,0
low,clean,tooLong,bad,$$$,0
good,average,short,great,$$$,1
great,dirty,short,great,$$,1
great,average,short,good,$$,1
good,clean,fastAndFurious,great,$$$,1
average,perfect,long,good,$$$,1
great,scrapHeap,long,average,$$$,0
good,clean,long,bad,$$,0
low,average,fastAndFurious,terrible,$,0
good,dirty,tooLong,terrible,$$$,0
low,perfect,long,bad,$$,0
low,average,long,great,$,1
good,dirty,average,great,$$,1
good,average,average,good,$$$,1
